Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Category,Visibility_MeanRatio,Outlet_Location_Score,High_MRP_Flag
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,14,FD,0.2285983814658079,1,1
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,4,DR,0.2746236875065933,3,0
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,14,FD,0.23875205046914436,1,0
FDX07,19.2,Regular,0.022861152,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,15,FD,0.32566363313331115,3,1
NCD19,8.93,Low Fat,0.006589694,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,26,NC,0.09387207124456291,3,0
FDP36,10.395,Regular,0.091096531,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,4,FD,1.29769607635264,3,0
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,26,FD,0.1815004481757904,3,0
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,28,FD,1.8158444834977536,3,0
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,11,FD,0.23771270020643495,2,0
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,6,FD,1.3454613585243498,2,1
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,14,FD,0.0,1,0
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,16,FD,0.6476444184058676,1,1
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,14,FD,1.4247208440055172,1,1
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,16,FD,0.6731941211297031,1,0
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,26,FD,0.9690255626378889,3,1
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,16,FD,0.9841919623589243,1,0
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,4,NC,0.12245319917645589,3,0
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,14,FD,0.9857221196822741,1,0
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,28,DR,0.4877255490092088,3,0
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,9,FD,1.4600294931215763,2,1
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,26,FD,1.9685599252180577,3,1
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,28,FD,0.5042820036724074,3,1
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,9,NC,0.3660772511895582,2,1
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,28,FD,0.819915859048867,1,0
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,16,FD,0.36890281777936196,1,1
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,6,NC,1.4229202826760992,2,0
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,9,FD,0.950067039472359,2,0
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,26,DR,0.2757336231580957,3,0
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,15,FD,2.3001368475168404,3,0
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,28,FD,1.0288201620413095,1,0
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,15,FD,2.4266637139569847,3,0
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,4,NC,1.151437466904727,3,0
FDP33,18.7,Low Fat,0.08923510800000001,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,4,FD,1.2711795746042633,3,1
FDO23,17.85,Low Fat,0.146399663,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,11,FD,2.085504971143729,2,0
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,16,DR,1.3946708277224638,1,1
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,14,NC,1.2719777236958238,1,1
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,28,FD,0.8477627422391744,3,0
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,4,DR,1.6114821330335387,3,0
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,28,FD,1.7537577749494375,3,0
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,28,FD,0.3772287454488772,3,0
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,16,FD,1.4603056237323457,1,1
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,26,FD,0.38203618735973527,3,0
