,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
25890,Operations,region_2,Bachelor's,f,sourcing,1,54,3.0,19,0,0,62
24121,Procurement,region_16,Master's & above,f,sourcing,1,39,5.0,10,1,0,70
483,Procurement,region_11,Bachelor's,f,other,1,36,3.0,4,1,0,72
14389,Sales & Marketing,region_13,Master's & above,m,other,1,40,3.0,2,0,0,51
45182,Technology,region_27,Master's & above,m,other,2,41,3.0,5,0,0,82
13823,Operations,region_15,Master's & above,f,sourcing,1,48,3.0,19,0,0,56
38673,Analytics,region_4,Master's & above,m,sourcing,1,38,4.0,5,1,0,86
50474,Sales & Marketing,region_14,Bachelor's,m,other,1,43,5.0,13,1,0,50
13672,Analytics,region_26,Bachelor's,m,sourcing,1,31,3.0,7,0,0,83
28380,Procurement,region_2,Master's & above,m,other,1,36,5.0,6,1,0,70
11127,Procurement,region_2,Bachelor's,m,sourcing,1,36,5.0,3,1,0,66
18274,Sales & Marketing,region_2,Master's & above,m,other,1,56,1.0,4,0,0,46
22368,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,43,2.0,8,0,0,50
30076,Analytics,region_28,Bachelor's,m,other,1,40,3.0,3,1,0,94
8512,Finance,region_22,Master's & above,m,other,2,39,3.0,7,0,0,62
32706,Sales & Marketing,region_17,Bachelor's,m,other,3,29,3.0,2,0,0,47
54119,Procurement,region_7,Master's & above,f,other,1,54,4.0,20,0,0,72
32208,Finance,region_22,Bachelor's,f,other,3,25,,1,0,0,60
3282,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,27,3.0,2,0,0,49
10239,Sales & Marketing,region_2,Bachelor's,m,other,1,34,2.0,7,1,0,50
12593,Sales & Marketing,region_13,Bachelor's,m,other,1,54,2.0,13,0,0,49
49848,Sales & Marketing,region_2,Bachelor's,m,other,2,43,2.0,10,0,0,52
54434,Technology,region_13,Bachelor's,f,sourcing,1,33,1.0,7,0,0,77
51565,Sales & Marketing,region_7,Master's & above,f,sourcing,1,34,4.0,8,0,0,51
36323,Sales & Marketing,region_12,Bachelor's,m,other,1,31,4.0,3,0,0,51
14511,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,53,4.0,15,0,0,52
53039,Finance,region_2,Bachelor's,m,sourcing,3,30,3.0,7,0,0,57
7467,Operations,region_22,Bachelor's,f,sourcing,1,25,3.0,2,0,0,60
7129,Operations,region_22,Bachelor's,f,referred,1,35,3.0,13,1,0,61
16635,Sales & Marketing,region_11,Bachelor's,m,other,1,24,3.0,1,0,0,51
51246,Technology,region_26,Bachelor's,f,sourcing,1,34,4.0,6,1,0,82
1600,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,27,2.0,4,0,1,46
28309,Operations,region_31,Bachelor's,m,sourcing,1,33,5.0,6,1,0,59
37307,Analytics,region_28,Master's & above,m,other,2,41,3.0,8,1,1,90
31768,Operations,region_26,Bachelor's,m,sourcing,1,51,3.0,3,0,0,62
23220,Operations,region_10,Bachelor's,m,sourcing,1,35,3.0,5,1,0,59
6959,Technology,region_2,Bachelor's,f,sourcing,1,30,4.0,4,1,0,79
28978,Sales & Marketing,region_15,Bachelor's,m,other,1,26,5.0,2,0,0,47
44236,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,27,1.0,4,0,0,51
16115,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,46,2.0,8,0,0,54
36523,Operations,region_23,Bachelor's,f,sourcing,1,34,1.0,7,0,0,57
33538,Operations,region_19,Master's & above,m,other,1,37,5.0,10,0,0,59
8665,Operations,region_27,Bachelor's,m,other,2,30,4.0,6,0,0,59
52922,Sales & Marketing,region_25,Master's & above,f,other,1,39,3.0,4,0,0,48
33063,Operations,region_29,Master's & above,m,other,2,34,3.0,3,0,0,57
8496,Operations,region_22,Bachelor's,m,sourcing,1,47,4.0,16,0,0,60
7719,Sales & Marketing,region_26,Bachelor's,m,sourcing,4,31,3.0,5,0,0,46
18706,Technology,region_2,Bachelor's,m,sourcing,2,28,3.0,4,0,0,79
4707,Analytics,region_7,Bachelor's,m,sourcing,2,37,5.0,7,0,0,86
45212,Technology,region_13,Bachelor's,f,other,1,30,2.0,6,0,0,79
13038,Procurement,region_6,Bachelor's,f,other,1,32,,1,0,0,64
459,Technology,region_15,Bachelor's,f,sourcing,2,26,3.0,2,0,0,79
9553,Procurement,region_23,Bachelor's,f,sourcing,1,33,5.0,3,1,1,69
43951,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,55,1.0,27,0,0,50
18070,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,36,3.0,10,0,0,44
21391,Finance,region_2,Below Secondary,f,sourcing,1,22,,1,1,0,56
45327,Operations,region_32,Bachelor's,m,other,1,38,3.0,12,0,0,59
11762,HR,region_11,Master's & above,m,other,1,32,3.0,7,0,0,47
32852,HR,region_26,Bachelor's,m,sourcing,1,27,5.0,2,1,0,50
29709,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,35,1.0,7,0,0,51
28497,Legal,region_2,Below Secondary,f,other,1,26,5.0,2,1,0,62
51230,Operations,region_13,Bachelor's,m,sourcing,2,31,3.0,4,0,0,58
31202,Operations,region_7,Bachelor's,f,sourcing,1,29,4.0,5,1,0,67
45727,Sales & Marketing,region_29,Bachelor's,m,other,2,26,4.0,2,1,0,50
45264,Analytics,region_22,,m,sourcing,1,26,2.0,1,1,0,85
10615,HR,region_30,Bachelor's,f,other,1,27,3.0,3,0,0,49
24247,Procurement,region_2,Bachelor's,m,other,1,27,2.0,1,0,0,70
4674,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,33,2.0,6,0,0,57
36751,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,40,1.0,7,0,0,45
9686,Operations,region_24,Bachelor's,f,other,1,31,5.0,5,1,1,60
49959,Sales & Marketing,region_26,Bachelor's,m,other,1,30,5.0,5,0,0,48
13243,Operations,region_22,Bachelor's,m,other,2,34,1.0,7,0,0,62
31870,Operations,region_2,Bachelor's,m,other,1,43,5.0,4,1,0,62
27374,HR,region_2,Master's & above,f,other,1,41,3.0,7,0,0,49
13754,Sales & Marketing,region_16,Bachelor's,m,other,1,41,5.0,9,1,0,50
17147,HR,region_27,Bachelor's,f,other,1,26,3.0,3,1,0,54
1258,Finance,region_2,Bachelor's,m,other,1,28,3.0,6,1,0,59
33466,Technology,region_13,Bachelor's,f,sourcing,1,33,5.0,3,1,0,80
30350,Procurement,region_25,Bachelor's,m,other,1,30,3.0,5,0,0,66
24710,Analytics,region_2,Bachelor's,m,other,1,47,1.0,15,0,0,88
53932,Operations,region_22,Bachelor's,m,other,3,40,3.0,2,1,0,61
20647,HR,region_25,Bachelor's,f,other,1,28,5.0,3,0,0,50
53249,Procurement,region_13,Bachelor's,m,sourcing,1,39,1.0,7,0,0,73
24394,Analytics,region_31,Bachelor's,m,other,3,28,3.0,2,0,0,84
16097,Analytics,region_28,Master's & above,m,other,1,41,5.0,3,1,0,89
18080,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,46,1.0,17,0,0,51
35877,HR,region_22,Master's & above,f,sourcing,1,36,2.0,3,0,0,52
14337,Sales & Marketing,region_6,Bachelor's,m,other,1,34,3.0,10,0,0,48
